Date,Portfolio_Return
2022-01-04,0.014377880156088874
2022-01-05,0.009064783194667437
2022-01-06,-0.0170233835337534
2022-01-07,0.008855017275493782
2022-01-10,0.004516157302045066
2022-01-11,0.006678736696552034
2022-01-12,0.0013553313663113176
2022-01-13,-0.0027187295482643103
2022-01-14,0.01033404486982512
2022-01-17,-0.0007011285449794579
2022-01-18,-0.003672783465106943
2022-01-19,-0.008041218968875198
2022-01-20,-0.01449354973237159
2022-01-21,0.003933216320873556
2022-01-24,-0.026152515259042983
2022-01-25,-0.0003252902314299088
2022-01-27,-0.017565734247471335
2022-01-28,-0.00010753723886519672
2022-01-31,0.016410945132885567
2022-02-01,0.007220300823963254
2022-02-02,0.014134668083366941
2022-02-03,-0.01047546574596242
2022-02-04,-0.0012126811573486603
2022-02-07,-0.01930919073614229
2022-02-08,0.0005043010000886248
2022-02-09,0.014647771159353408
2022-02-10,0.007818572384667644
2022-02-11,-0.008224609806975746
2022-02-14,-0.013518547254265845
2022-02-15,0.028908963497318908
2022-02-16,-0.0015299326728076545
2022-02-17,-0.0009165559473341969
2022-02-18,-2.2766399907481064e-05
2022-02-21,-0.006343906435517721
2022-02-22,-0.015085967501288067
2022-02-23,-0.006362666563712194
2022-02-24,-0.05031919565043063
2022-02-25,0.024596549167711368
2022-02-28,0.004580362022351524
2022-03-02,-0.010304545305854175
2022-03-03,-0.0036268161949794433
2022-03-04,-0.009663845031757323
2022-03-07,-0.026658604130336706
2022-03-08,0.010267490327965678
2022-03-09,0.03169594188217391
2022-03-10,0.010186234183407238
2022-03-11,0.00023676832305460352
2022-03-14,0.019219749352875737
2022-03-15,-0.016058072129317737
2022-03-16,0.01702375481078635
2022-03-17,0.019974093040583396
2022-03-21,-0.003746867916245277
2022-03-22,0.015951484342868326
2022-03-23,-0.0021067575013112854
2022-03-24,-0.0022095408082330355
2022-03-25,-0.004649059929524569
2022-03-28,0.003567835564279176
2022-03-29,0.00518279263241277
2022-03-30,0.014815922314356376
2022-03-31,-0.005399575101881648
2022-04-01,0.01360896275706971
2022-04-04,0.04186567635037195
2022-04-05,-0.012424882531609782
2022-04-06,-0.01975129850507461
2022-04-07,-0.019775057803106854
2022-04-08,0.004558866067908518
2022-04-11,-0.004635689994680547
2022-04-12,-0.006787561866201453
2022-04-13,-0.011116818664104643
2022-04-18,-0.03086342696267346
2022-04-19,-0.00860499238247592
2022-04-20,0.019763281297147217
2022-04-21,0.019006309109212104
2022-04-22,-0.0093006920672981
2022-04-25,-0.009286753265508884
2022-04-26,0.010662213242559703
2022-04-27,0.0016982154586617337
2022-04-28,0.006077307114917673
2022-04-29,-0.002431379624188312
2022-05-02,0.004100423020130629
2022-05-04,-0.028263825504361306
2022-05-05,-0.00387359928906944
2022-05-06,-0.019650808808347797
2022-05-09,-0.009941046664475928
2022-05-10,0.0006720382564087249
2022-05-11,-0.0031547861527720265
2022-05-12,-0.015423115981496737
2022-05-13,0.00035935314435637763
2022-05-16,0.0009861704147519196
2022-05-17,0.021974037167855218
2022-05-18,0.000817488322558446
2022-05-19,-0.031341582014804324
2022-05-20,0.03088437877301964
2022-05-23,-0.00451960998706904
2022-05-24,0.002567768718506769
2022-05-25,-0.006488329565284756
2022-05-26,0.014165069871749604
2022-05-27,0.009221220325909251
2022-05-30,0.0236619296025653
2022-05-31,-0.008184260505860554
2022-06-01,0.000980077623958353
2022-06-02,0.01360991679232466
2022-06-03,0.006195469278750742
2022-06-06,-0.002628233815780179
2022-06-07,-0.010003430384171319
2022-06-08,-0.00016210757766907955
2022-06-09,0.013262260212872624
2022-06-10,-0.022663224467828848
2022-06-13,-0.02545611737330624
2022-06-14,-0.009165971976104591
2022-06-15,-0.005414359230953935
2022-06-16,-0.018210963174137996
2022-06-17,0.001083480029949225
2022-06-20,0.006892738187698023
2022-06-21,0.01879460449425545
2022-06-22,-0.009971474851535366
2022-06-23,0.0045973523511730445
2022-06-24,0.008435897456106456
2022-06-27,0.001803629947688301
2022-06-28,0.0014781587211731171
2022-06-29,0.0031454718656578336
2022-06-30,0.0008742880100883199
2022-07-01,-0.015493538154061945
2022-07-04,-0.0060599970292607545
2022-07-05,-0.00020883032507499374
2022-07-06,0.007022916639029042
2022-07-07,0.0067005435841300705
2022-07-08,-0.0012567396741082315
2022-07-11,-0.007264079509778264
2022-07-12,-0.007312763625465546
2022-07-13,-0.019543172725959568
2022-07-14,-0.0026975231593786677
2022-07-15,0.0034235835571667654
2022-07-18,0.005198374178161735
2022-07-19,0.003040438112558519
2022-07-20,0.021992639719849258
2022-07-21,-0.002076743926248326
2022-07-22,0.010765372021202323
2022-07-25,-0.009136122456145025
2022-07-26,-0.005497085794916978
2022-07-27,0.00979513580977559
2022-07-28,0.014986696804424415
2022-07-29,0.015099012993880102
2022-08-01,0.010869714294439892
2022-08-02,-0.0038926671260079092
2022-08-03,0.007802740561737086
2022-08-04,-0.0030517445611834117
2022-08-05,-0.00487252976237763
2022-08-08,0.014573081966538549
2022-08-10,0.0011607366856969505
2022-08-11,0.012395395763502303
2022-08-12,0.0028668828614074045
2022-08-16,0.005883085639982288
2022-08-17,0.0043737617497872526
2022-08-18,-0.0007300889433293212
2022-08-19,-0.009884450534288148
2022-08-22,-0.009678142943713742
2022-08-23,-0.0028666678912940497
2022-08-24,-0.0015468980128464647
2022-08-25,-0.006471276894091782
